EFECTIVO;CXC;INVENTARIO;EQ_OFICINA;EQ_TRANSPORTE;TERRENOS_Y_CONSTRUCCIONES;CXP;CONTRIBUCIONES_X_PAGAR;ANTICIPOS_CTE;CAP_SOCIAL;UTILIDADES_ACUMULADAS;UTILIDAD_O_PERDIDA;TOTAL_VENTAS;TOTAL_COMPRAS;UTILIDAD_BRUTA;TOTAL_GASTOS;OBJETIVO
;7710799826;;1237449438;2947056664;8812519508;45472140.07;2396715009;12579074479999900;2356497733;-6009930409;-6816681404;41309820.53;68725724.78;6298390103999990;15057615.24;1
7437098344;2213115804;;1335530669;4000109174;8491850953;15732539.68;9480920697;6708985232;;-7980961882999990;-3342451935;;35882739.46;;10851563.46;1
52699869180000000;28931194.63;3983351701;15330613.03;3478673115;-13932286.83;;6108146399;10099371.73;1444426243;;-4026343953;;329233683.5;;8680734851;1
9092134473;11450924.96;9577822891;1068692409;1302021086;1379063945;;;2378927851;1236065779;;-4567434952;76310275.6;;;13232671.44;1
9688668993;8539205.63;3898282548;4168733265;;-6297178548;7620711462;1166477396;1798064624;3657339603;7702845004;-7110320155;62901614.29;36142598.75;6850340403;11000477.09;1
1773585004;;61142290.58;7232787994;1027126887;4234019828;97047908.37;7831397306;2590328307;7179441092;18689654.33;-29696758019999900;396207900.9;217255661.2;58571232.04;58525101.92;1
;;2088919865;9368769513;1334773611;-8602278381000000;8468829379;2531677528;4966997762;5281061374;6189959378;-3242946207;39979300.88;35887817.17;2835825963;3404082712;1
2012121618;44994506.72;36296946.44;13835507.31;;6183587529;90585154.76;3228281186;9338428196;8995960551;13269904.62;;208361113.3;127293927.7;45965630.47;35826349.54;1
20830131269999900;5642930368;4777793085;1029408.62;4285786139;-4593900.88;6333387074;;1199689.86;10939232.69;-4110542445;4717089116;11514028.32;14801001.16;6585251031;14573571.29;1
8946773106;54632064.27;;12785040.76;37734000130000000;3124556798;85455687.96;1956563051;20551150990000000;1329429546;19204093.6;-2650300767;469227170.9;235738138.6;51854423.66;41550254.51;1
4260904436;6136600.64;2396538779;7357993932;1067854412;-7103518802;2662149216;65044034779999900;;;8084576.99;-7659158670000000;54878600.4;17642287.13;5304115.47;7163187437999990;1
8450236009999990;38240170.21;26468120.81;13466574109999900;2911755931;;74899207.73;2004771846;2665407047;3055945403;4207408246;-5377807141;98465064.61;169881307.0;35902570.89;31364780.74;1
6120187449;6946224361;;8024564139;2485276953;4126758463;2385184776;1026081694;3868500955;5106132277;-9134566.2;4091835666;;11285216.19;8355135132999990;9415842617;1
3105407709;4553498996;;;3822430422;;;;;1968720052;-8481412565;-6810887367999990;69229105139999900;5971837307;1801355174;2136873294;1
4308351791;45696352.03;13194432.17;6626222449;3033468048;;;5990057876;10764559.57;;17751668.26;-23511665409999900;235816492.2;;46477652.07;29852990.61;1
;37225666360000000;12776394.47;3687536718;7742579278;8583450376;;1937415542;2930978969;7329381796;-13428085.28;-45142794200000000;23729436.4;26857402.85;;19455153.75;1
2142342538;19419403.35;41052727.02;;6330874902;5427031027000000;38497839.9;6909460514;5830260313999990;11983179.4;6116364001;-32492877830000000;155048701.8;58043486.53;14142996.19;18530112.35;1
7403151793;8869420665;5297630377;982012965;1312071803;3291607.29;15662159.24;1017771515;8622122212;34088938060000000;-5152677176;-8796811798;;73258806.69;15881884.71;20449692.75;1
1899606785;8260726182;;1200693751;5326105636;-12653301.87;4824853273;2562409733;3811890033;11025827179999900;6777020307;;31086289.83;33127160.17;7068352617000000;12134861.71;1
11965664.96;69304196.76;58571006.64;3207225.7;2230173899;6148702501;96612525.58;8023350399;6928451568;;10852722.35;-1616714281;388437658.6;461396531.1;72914673.57;;1
20589302.89;64835733.31;5169725482;323165772.6;3441713293;;70362659.48;3812367.84;14593898.68;14116308190000000;24599798.72;-6208035345;;1018728273.0;21419962.52;26296978.0;1
4380372152;;8858917671;8414316274;2336603607;-1195022662;5747918352000000;5037209793;1603489114;769113782;-3530653018;-4635204841;43414141.21;55287629.38;12339588.83;7612122812000000;1
2403650982;30591580.27;;7177530228999990;5057988163;;57694709.25;7713792511;4491598701;2547999405;11370355.98;;86064693.56;174434663.5;13761621.3;24451679.41;1
1339218225;1480668.48;3183244478;1216726908;2873319632;;5982812619;4711756704;1027795459;10965749.8;-3575567613;7359839037;7260895478999990;6912429675;;6070173257;1
9539510315;13341583.52;2496878381;;;-10880101.13;7056348156;8146389267999990;7617106431;2073766407;;2593671607;;73314264.47;19514886.82;22766954.39;1
57155677189999900;16336099740000000;1429742208;;6585740359;6695956281;8049662692000000;;535209041;6008081786;2064578763;-3238683854;;;27161685939999900;34727639910000000;1
2398005776;28851889.94;6799360109;12462877.88;2818744.16;-3938486068;24397033.6;492840.47;9879314972;4191117324;13540780.38;-8597892347;182867869.2;154401141.5;32916471.73;34989061.79;1
2723236353;12753417.92;30657884710000000;3176916341;1525805642;-7178875517999990;18699516.13;1239718476;18118011269999900;2467541289;8397968557;;;130640663.8;9032245837000000;;1
5662152335;1390948754;9542148122;9446926311;2077571768;4645544664;1796355619;842094702;14392047719999900;6979853.54;-15125006.44;1108701973;1298204117;;4123377205;;1
1165368633;31989110.19;18110031.51;6988079665;9086583459999990;;34319385.92;;2939802498;3428242075;16096851.22;-3609689595;179771705.4;;29083006.58;24359612.55;1
2352538214;16604379.78;5649665801;14059035880000000;1232940547;-4813215852;26765768.04;;3243509768;30835957430000000;1864665.27;-2430921392;80732549.55;166654178.1;23715817.21;18898579.7;1
